Lulogooli,English,Category
Avandu vanyingi vamali kokora kuli vanyara kong'oda amakuva gi ivindu viekoleka hagati hiitu.,Many people have done their best to write a report of the things that have taken place among us.,Sentence
Vang'oda ivindu via kwavolerwa na yavo avaari avaloli va moni na moni vi vindu yivio kutura mulitanga.,They wrote what we have been told by those who saw these things from the beginning and who proclaimed the message.,Sentence
"Inzi kandi O, Wuluyali Zeofilo, mali mulihenzeriza ligali nokolohiza vindu yivi viosi kutura mulitanga.","And so, Your Excellency, because I have carefully studied all these matters from their beginning, I thought it would be good to write an orderly account for you.",Sentence
Ngoli ndio kunangwa uduuki kumanya agiligali gi ivindu viosi via wigizwa.,I do this so that you will know the full truth about everything which you have been taught.,Sentence
Mu madiku ga Herodi yaali Mwami Munene wi Vuyuda.,During the time when Herod was king of Judea.,Sentence
Yaali ho musaalisi mulala walangwa Zakaria.,There was a priest named Zechariah.,Sentence
Kutura ku avinyumba yu musaalisi Abija.,Who belonged to the priestly order of Abijah.,Sentence
Mukali weve yalangwa Sabeti.,His wife's name was Elizabeth.,Sentence
Yaali mulala ku avakaana vi kisukururwi chu Musaalisi Haruni.,She also belonged to a priestly family.,Sentence
Vosi vaali avalungi imbiri wa Nyasaye.,They both lived good lives in God's sight.,Sentence
Vatia ligali nokolonda malago na makuva gu Mwami vugira imbara.,They obeyed fully all the Lord's laws and commands.,Sentence
Navuzwa sivali numwana mba.,They had no children.,Sentence
Sabeti yaali umugumba.,Elizabeth could not have any (she was barren).,Sentence
Vosi vaali vahindira ligali.,They were both very old.,Sentence
Lidiku lilala Zakaria yaali naakoraa miyinzi ju vusaalisi imbiri wa Nyasaye.,One day Zechariah was doing his work as a priest in the Temple.,Sentence
Mu Litembeli kuli lilohiza lia vuli lidiku lialange.,Taking his turn in the daily service.,Sentence
Yatovolwa nikura kuli mwima gwu vusaalisi.,He was chosen by lot to burn incense.,Sentence
Kwingira mu Litembeli liu Mwami.,So he went into the Temple of the Lord.,Sentence
Asambe kimuli ku vwali.,To burn incense on the altar.,Sentence
Kiduma kenene chavandu vaali ni vasaala ichova ing'inga yukusaamba kimuli.,The crowd of people outside prayed during the hour when the incense was burned.,Sentence
Engelosi wu Mwami yaloleka kuye.,An angel of the Lord appeared to him.,Sentence
Nasingiyi ku mukono mulungi gwu vwali.,Standing at the right side of the altar.,Sentence
Olovega lwi kimuli chasambirwa.,Where the incense was burned.,Sentence
"Lwa Zakaria yamulola, yahenda mwoyo kandi naatia ligali.","When Zechariah saw him, he was alarmed and felt afraid.",Sentence
"Engelosi yamuvolera, Utatia mba, Zakaria.","But the angel said to him, Don't be afraid, Zechariah!",Sentence
Kigira Nyasaye ahuliyi lisaala liilio.,God has heard your prayer.,Sentence
Mukali woovo Sabeti alakwivulira mwana muyaayi.,Your wife Elizabeth will bear you a son.,Sentence
Ulamugulika Yohana.,You are to name him John.,Sentence
Ulakave nuvusangali kandi nuvuyanzi.,How glad and happy you will be.,Sentence
Avandu vanyingi valakasangala ku liivulwa lilie.,How happy many others will be when he is born!,Sentence
Alakave munene imbiri wu Mwami.,John will be great in the Lord's sight.,Sentence
Si alinwa iwaini anoho amalwa mba.,He must not drink any wine or strong drink.,Sentence
Aliizula Roho Mutakatifu kutura munda mwa mama weve.,From his very birth he will be filled with the Holy Spirit.,Sentence
Aliranyia avanyingi ku avandu va Isiraeli ku Mwami Nyasaye wavo.,He will bring back many of the people of Israel to the Lord their God.,Sentence
Alimiira imbiri wu Mwami weve nu mwoyo kandi ni zinguru.,"He will go ahead of the Lord, strong and mighty.",Sentence
Alakahambanyie avababa na avana vaavo kandi.,He will bring fathers and children together again.,Sentence
Alalomba avibaali na avatatiizaa Nyasaye vaganagane.,He will turn disobedient people back to the way of thinking of the righteous.,Sentence
Alaketegekiziri Mwami avandu veve.,He will get the Lord's people ready for him.,Sentence
"Zakaria yateeva Engelosi, Inzi ndamanya ndi amakuva yaga?","Zechariah said to the angel, How shall I know if this is so?",Sentence
Inzi mbeeye musakulu na mukali wange yakeera.,"I am an old man, and my wife is old also.",Sentence
Inzi mbeeye Gabirieli usingiraa imbiri wa Nyasaye.,"I am Gabriel, I stand in the presence of God.",Sentence
Ndumiywi komoloma na ivi.,I was sent to speak to you.,Sentence
Ngoletere makuva malahi yaga.,I bring you this good news.,Sentence
"Hulira, ulava idimbidi.","Behold, you will be silent (mute).",Sentence
"Siulamoloma mba, kuduuka lwayaga galakekoleke.",You will be unable to speak until the day these things happen.,Sentence
Kigira siwasuuvira makuva gange.,Because you have not believed my message.,Sentence
Avandu valindilira Zakaria.,In the meantime the people were waiting for Zechariah.,Sentence
Vagenya ku lilindagilira lilie mu Litembeli.,They wondered why he was spending such a long time in the Temple.,Sentence
"Lwa yatura ichova, siyaali anyala komoloma navo mba.","When he came out, he could not speak to them.",Sentence
Vamanya ndi aloli malola mu Litembeli.,They knew that he had seen a vision in the Temple.,Sentence
Yagelagela vuzwa makono ma namenya naveeye idimbidi.,"Unable to say a word, he made signs to them with his hands.",Sentence
